model,tariff,household,run_seed,energy_cost_reduction_pct,oracle_gap_pct,total_token_cost_usd,avg_latency_ms,daily_api_cost_usd,breakeven_months
openai/gpt-4.1,sce_tou_d_prime,apartment,44,28.091,48.955,0.0,1858.7,0.0,0.0
openai/gpt-4.1,comed_hourly,small_suburban,44,87.282,0.0,0.0,1497.0,0.0,0.0
openai/gpt-4.1,comed_hourly,large_suburban,42,88.407,0.0,0.0,1431.8,0.0,0.0
openai/gpt-4.1,comed_hourly,large_suburban,43,89.41,0.0,0.0,1422.0,0.0,0.0
openai/gpt-4.1,comed_hourly,large_suburban,44,88.503,0.0,0.0,1375.2,0.0,0.0
openai/gpt-4.1,comed_hourly,apartment,43,52.921,72.68,0.0,1389.1,0.0,0.0
openai/gpt-4.1,comed_hourly,apartment,42,52.54,76.15,0.0,2166.7,0.0,0.0
openai/gpt-4.1,comed_hourly,apartment,44,50.426,80.819,0.0,1554.9,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,small_suburban,42,42.485,36.661,0.0,3376.4,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,small_suburban,43,43.905,33.163,0.0,3480.9,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,small_suburban,44,41.21,39.15,0.0,3481.6,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,large_suburban,42,38.091,4.448,0.0,3409.2,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,large_suburban,43,34.291,10.056,0.0,3418.0,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,apartment,42,38.375,39.296,0.0,3099.9,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,large_suburban,44,36.754,6.343,0.0,3698.5,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,apartment,43,38.117,38.718,0.0,3114.6,0.0,0.0
anthropic/claude-sonnet-4-6,pge_etou_c,apartment,44,37.985,39.176,0.0,3021.8,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,small_suburban,42,27.33,52.874,0.0,3885.8,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,small_suburban,43,27.566,51.727,0.0,3395.9,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,large_suburban,42,23.787,10.828,0.0,3453.9,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,small_suburban,44,25.842,55.389,0.0,3758.3,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,large_suburban,43,21.546,12.888,0.0,3350.1,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,large_suburban,44,23.395,11.102,0.0,3357.6,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,apartment,42,23.525,59.921,0.0,3044.4,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,apartment,43,22.692,61.333,0.0,2919.9,0.0,0.0
anthropic/claude-sonnet-4-6,sce_tou_d_prime,apartment,44,22.842,59.827,0.0,3035.2,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,small_suburban,42,97.303,0.0,0.0,3448.6,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,small_suburban,43,101.964,0.0,0.0,3508.5,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,small_suburban,44,96.637,0.0,0.0,3545.3,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,large_suburban,42,100.794,0.0,0.0,3455.2,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,large_suburban,43,105.312,0.0,0.0,3375.1,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,large_suburban,44,104.612,0.0,0.0,3289.9,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,apartment,42,52.357,76.83,0.0,3156.0,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,apartment,43,50.203,82.65,0.0,3124.2,0.0,0.0
anthropic/claude-sonnet-4-6,comed_hourly,apartment,44,51.834,75.683,0.0,3851.0,0.0,0.0
