model,tariff,household,run_seed,hour,prompt_tokens,completion_tokens,latency_ms,cost_usd
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,36,487,67,3176.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,37,487,70,2685.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,38,487,67,2546.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,39,487,67,3280.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,40,488,80,3386.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,41,488,68,3061.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,42,487,67,3021.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,43,487,62,3171.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,44,487,66,3208.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,45,486,87,3603.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,46,486,63,2561.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,47,486,81,3589.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,48,489,75,3132.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,49,489,65,3201.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,50,489,78,2890.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,51,489,68,3186.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,52,489,73,3072.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,53,489,68,2977.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,54,486,67,3239.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,55,487,72,4428.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,56,487,79,3115.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,57,487,70,2867.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,58,487,73,3529.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,59,487,69,3277.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,60,487,78,3158.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,61,487,66,2791.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,62,487,72,3336.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,63,487,66,2752.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,64,488,71,3059.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,65,488,77,3625.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,66,487,61,3003.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,67,487,63,1948.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,68,487,64,2420.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,69,486,86,3316.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,70,486,67,4024.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,71,486,82,3243.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,72,489,70,2827.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,73,489,64,2251.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,74,489,65,2364.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,75,489,77,3342.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,76,489,86,4337.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,77,489,68,2314.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,78,486,86,3498.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,79,487,67,11573.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,80,487,74,2631.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,81,487,67,2418.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,82,487,69,3279.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,83,487,69,2513.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,84,487,67,2293.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,85,487,68,2226.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,86,487,85,2774.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,87,487,79,3223.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,88,488,67,2826.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,89,488,65,2512.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,90,487,73,2431.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,91,487,68,2658.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,92,487,64,2559.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,93,486,73,3024.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,94,486,73,3562.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,95,486,65,2391.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,96,489,61,2856.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,0,489,64,2391.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,1,489,69,2607.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,2,489,71,2900.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,3,489,82,3774.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,4,489,90,3859.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,5,489,71,2982.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,6,486,84,3562.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,7,487,67,2598.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,8,487,69,3028.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,9,487,61,2222.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,10,487,66,1991.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,11,487,65,2898.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,12,487,68,3022.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,13,487,82,3488.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,14,487,68,2463.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,15,487,67,2806.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,16,488,61,2293.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,17,488,72,3031.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,18,487,63,2810.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,19,487,71,2968.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,20,487,68,2927.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,21,486,70,2914.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,22,486,67,2993.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,23,486,66,2309.3,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,0,497,65,3234.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,0,489,80,3239.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,0,489,66,3301.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,0,489,72,3307.5,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,0,497,68,3613.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,1,489,68,3317.5,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,1,497,74,3395.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,1,489,76,3472.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,1,489,76,3502.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,1,497,74,3192.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,2,489,70,2868.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,2,497,74,2944.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,2,489,73,2886.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,2,497,75,2883.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,2,489,74,3776.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,3,489,68,2799.5,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,3,497,73,2751.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,3,489,72,2686.4,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,3,497,75,3013.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,3,489,77,2944.3,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,4,497,72,3241.2,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,4,497,76,3675.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,4,489,73,3634.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,4,489,92,3727.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,4,489,80,3186.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,5,497,69,2800.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,5,489,85,3295.5,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,5,497,69,3329.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,5,489,73,3414.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,5,489,67,3254.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,6,494,82,2932.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,6,486,70,3247.9,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,6,494,77,3447.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,6,486,71,3468.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,6,486,90,4302.9,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,7,487,73,3654.9,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,7,487,69,3652.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,7,487,73,4014.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,7,487,66,3813.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,7,487,69,3875.9,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,8,487,63,3083.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,8,487,78,2974.1,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,8,487,73,3555.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,8,487,71,3337.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,8,487,71,3439.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,9,487,73,3448.6,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,9,487,59,2718.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,9,487,66,3174.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,9,487,69,3005.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,9,487,73,2983.4,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,10,487,68,2846.8,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,10,487,66,2707.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,10,487,65,2852.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,10,487,67,2767.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,10,487,73,3002.2,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,11,487,72,2930.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,11,487,72,2959.3,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,11,487,82,3349.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,11,487,67,3463.1,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,12,487,83,3154.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,11,487,73,3782.9,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,12,487,67,2316.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,12,487,73,3484.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,12,487,73,2888.9,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,13,487,73,2741.2,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,13,487,68,3045.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,13,487,67,2240.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,12,487,78,3573.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,13,487,71,3464.5,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,14,487,69,2632.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,14,487,69,2387.8,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,14,487,77,3479.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,13,487,72,3217.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,14,487,79,3456.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,15,487,74,3244.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,15,487,72,3217.4,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,15,487,67,3142.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,14,487,67,3373.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,15,487,75,3081.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,16,488,70,3161.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,16,488,77,3468.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,16,488,66,2771.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,15,487,77,2601.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,16,488,67,2942.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,17,488,72,3214.8,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,17,488,69,3020.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,16,488,68,2804.2,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,17,488,82,3547.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,17,488,74,2936.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,18,487,65,2499.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,18,487,62,2507.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,17,488,70,2626.6,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,18,487,65,2577.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,18,487,64,2992.3,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,19,487,62,2988.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,18,487,65,2978.5,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,19,487,66,3055.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,19,487,77,4761.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,19,487,63,2622.1,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,20,487,69,2756.9,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,20,487,71,2881.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,19,487,74,3331.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,20,487,68,2726.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,20,487,66,2489.8,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,21,486,75,2752.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,20,487,73,2459.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,21,486,60,1959.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,21,486,71,3137.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,21,486,69,1898.8,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,22,486,71,2025.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,21,486,63,1870.2,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,22,486,67,2026.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,22,486,77,2237.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,22,486,80,3374.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,23,486,65,2469.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,22,486,87,3592.3,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,23,486,72,2874.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,23,486,65,2635.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,23,486,89,3594.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,24,489,65,3067.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,24,489,66,2478.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,23,486,74,3278.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,24,489,74,3034.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,24,489,72,3383.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,25,489,68,2982.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,25,489,78,3281.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,24,489,65,3110.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,25,489,66,2696.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,25,489,83,3006.5,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,26,489,68,2746.8,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,26,489,69,3063.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,25,489,74,2803.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,26,489,64,2414.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,26,489,66,2662.8,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,27,489,78,2842.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,26,489,73,2748.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,27,489,70,2577.1,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,27,489,79,3349.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,27,489,64,2802.8,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,28,489,68,2368.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,27,489,69,2664.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,28,489,66,2568.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,29,489,71,2928.5,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,28,489,81,3206.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,28,489,89,3461.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,28,489,64,2322.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,29,489,69,2266.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,29,489,64,2997.6,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,30,486,70,3045.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,29,489,67,2624.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,29,489,62,2633.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,30,486,85,3136.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,30,486,84,3088.5,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,31,487,81,3239.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,30,486,75,3583.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,31,487,67,2599.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,30,486,72,3499.5,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,32,487,72,2827.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,31,487,76,3225.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,31,487,71,3895.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,32,487,67,3503.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,31,487,75,3634.8,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,33,487,70,2957.3,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,32,487,70,2736.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,32,487,65,2729.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,33,487,73,2931.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,32,487,75,3351.5,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,34,487,71,2676.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,33,487,64,3181.8,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,33,487,71,3668.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,34,487,82,3177.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,33,487,61,3347.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,35,487,73,3764.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,34,487,69,2765.3,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,34,487,68,2863.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,35,487,73,2858.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,34,487,71,2365.3,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,36,487,68,2583.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,35,487,72,2443.4,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,35,487,68,2183.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,36,487,75,3127.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,35,487,81,3350.6,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,37,487,73,2674.2,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,36,487,64,2763.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,36,487,73,3245.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,37,487,67,3326.7,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,37,487,68,2760.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,36,487,68,3549.4,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,38,487,71,3684.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,37,487,64,3586.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,38,487,69,3664.3,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,38,487,76,3125.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,37,487,71,3549.9,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,39,487,73,3957.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,38,487,71,3543.7,0.0
